starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:54:16 2011	1322704456	0	201	201	201
Wed Nov 30 17:54:11 2011	1322704451	0	201	201	201
Wed Nov 30 17:54:07 2011	1322704447	0	202	202	202
Wed Nov 30 17:58:39 2011	1322704719	0	203	203	203
Wed Nov 30 17:54:13 2011	1322704453	0	204	204	204
Wed Nov 30 17:58:35 2011	1322704715	0	204	204	204
Wed Nov 30 17:53:52 2011	1322704432	0	205	205	205
Wed Nov 30 17:58:34 2011	1322704714	0	205	205	205
Wed Nov 30 17:54:04 2011	1322704444	0	206	206	206
Wed Nov 30 17:53:51 2011	1322704431	0	206	206	206
Wed Nov 30 17:53:49 2011	1322704429	0	207	207	207
Wed Nov 30 17:58:45 2011	1322704725	0	209	209	209
Wed Nov 30 17:54:11 2011	1322704451	0	211	211	211
Wed Nov 30 17:58:35 2011	1322704715	0	211	211	211
Wed Nov 30 17:54:14 2011	1322704454	0	211	211	211
Wed Nov 30 17:54:10 2011	1322704450	0	213	213	213
Wed Nov 30 17:54:16 2011	1322704456	0	213	213	213
Wed Nov 30 17:54:12 2011	1322704452	0	213	213	213
Wed Nov 30 17:54:01 2011	1322704441	0	214	214	214
Wed Nov 30 17:53:53 2011	1322704433	0	216	216	216
Wed Nov 30 17:58:44 2011	1322704724	0	217	217	217
Wed Nov 30 17:53:54 2011	1322704434	0	217	217	217
Wed Nov 30 17:54:09 2011	1322704449	0	217	217	217
Wed Nov 30 17:54:06 2011	1322704446	0	218	218	218
Wed Nov 30 17:53:57 2011	1322704437	0	220	220	220
Wed Nov 30 17:58:45 2011	1322704725	0	221	221	221
Wed Nov 30 17:54:06 2011	1322704446	0	224	224	224
Wed Nov 30 17:53:59 2011	1322704439	0	232	232	232
Wed Nov 30 17:58:32 2011	1322704712	0	235	235	235
Wed Nov 30 17:53:52 2011	1322704432	0	237	237	237
Wed Nov 30 17:54:07 2011	1322704447	0	237	237	237
Wed Nov 30 17:53:51 2011	1322704431	0	237	237	237
Wed Nov 30 17:54:19 2011	1322704459	0	240	240	240
Wed Nov 30 17:54:08 2011	1322704448	0	242	242	242
Wed Nov 30 17:58:41 2011	1322704721	0	264	264	264
Wed Nov 30 17:58:42 2011	1322704722	0	265	265	264
Wed Nov 30 17:58:43 2011	1322704723	0	265	265	265
Wed Nov 30 17:54:09 2011	1322704449	0	265	265	265
Wed Nov 30 17:58:42 2011	1322704722	0	266	266	266
Wed Nov 30 17:54:16 2011	1322704456	0	266	266	266
Wed Nov 30 17:53:55 2011	1322704435	0	266	266	266
Wed Nov 30 17:54:16 2011	1322704456	0	266	266	266
Wed Nov 30 17:58:47 2011	1322704727	0	266	266	266
Wed Nov 30 17:58:47 2011	1322704727	0	266	266	266
Wed Nov 30 17:54:01 2011	1322704441	0	267	267	267
Wed Nov 30 17:58:40 2011	1322704720	0	267	267	267
Wed Nov 30 17:58:40 2011	1322704720	0	267	267	267
Wed Nov 30 17:58:46 2011	1322704726	0	267	267	267
Wed Nov 30 17:58:44 2011	1322704724	0	267	267	267
Wed Nov 30 17:54:11 2011	1322704451	0	267	267	267
Wed Nov 30 17:58:47 2011	1322704727	0	268	268	268
Wed Nov 30 17:58:47 2011	1322704727	0	268	268	268
Wed Nov 30 17:58:43 2011	1322704723	0	268	268	268
Wed Nov 30 17:58:43 2011	1322704723	0	268	268	268
Wed Nov 30 17:54:02 2011	1322704442	0	268	268	268
Wed Nov 30 17:54:12 2011	1322704452	0	268	268	268
Wed Nov 30 17:54:11 2011	1322704451	0	268	268	268
Wed Nov 30 17:58:42 2011	1322704722	0	268	268	268
Wed Nov 30 17:58:45 2011	1322704725	0	268	268	268
Wed Nov 30 17:54:03 2011	1322704443	0	268	268	268
Wed Nov 30 17:53:57 2011	1322704437	0	268	268	268
Wed Nov 30 17:58:40 2011	1322704720	0	268	269	268
Wed Nov 30 17:58:44 2011	1322704724	0	269	269	269
Wed Nov 30 17:58:42 2011	1322704722	0	269	269	269
Wed Nov 30 17:54:17 2011	1322704457	0	269	269	269
Wed Nov 30 17:58:39 2011	1322704719	0	269	269	269
Wed Nov 30 17:53:59 2011	1322704439	0	269	269	269
Wed Nov 30 17:54:17 2011	1322704457	0	269	269	269
Wed Nov 30 17:58:41 2011	1322704721	0	269	269	269
Wed Nov 30 17:54:02 2011	1322704442	0	269	269	269
Wed Nov 30 17:58:42 2011	1322704722	0	269	269	269
Wed Nov 30 17:58:43 2011	1322704723	0	269	269	269
Wed Nov 30 17:53:55 2011	1322704435	0	269	269	269
Wed Nov 30 17:53:53 2011	1322704433	0	269	269	269
Wed Nov 30 17:54:11 2011	1322704451	0	269	269	269
Wed Nov 30 17:54:12 2011	1322704452	0	269	269	269
Wed Nov 30 17:58:39 2011	1322704719	0	269	269	269
Wed Nov 30 17:54:03 2011	1322704443	0	270	270	270
Wed Nov 30 17:54:02 2011	1322704442	0	270	270	270
Wed Nov 30 17:54:01 2011	1322704441	0	270	270	270
Wed Nov 30 17:54:00 2011	1322704440	0	270	270	270
Wed Nov 30 17:54:17 2011	1322704457	0	270	270	270
Wed Nov 30 17:58:45 2011	1322704725	0	270	270	270
Wed Nov 30 17:58:46 2011	1322704726	0	270	270	270
Wed Nov 30 17:58:42 2011	1322704722	0	270	270	270
Wed Nov 30 17:54:17 2011	1322704457	0	270	270	270
Wed Nov 30 17:58:40 2011	1322704720	0	270	270	270
Wed Nov 30 17:58:43 2011	1322704723	0	271	271	271
Wed Nov 30 17:54:06 2011	1322704446	0	271	271	271
Wed Nov 30 17:54:15 2011	1322704455	0	271	271	271
Wed Nov 30 17:53:55 2011	1322704435	0	271	271	271
Wed Nov 30 17:54:05 2011	1322704445	0	271	271	271
Wed Nov 30 17:53:55 2011	1322704435	0	271	271	271
Wed Nov 30 17:54:04 2011	1322704444	0	271	271	271
Wed Nov 30 17:58:38 2011	1322704718	0	271	271	271
Wed Nov 30 17:58:48 2011	1322704728	0	271	271	271
Wed Nov 30 17:54:05 2011	1322704445	0	271	271	271
Wed Nov 30 17:58:33 2011	1322704713	0	271	271	271
Wed Nov 30 17:54:05 2011	1322704445	0	271	271	271
Wed Nov 30 17:53:53 2011	1322704433	0	271	271	271
Wed Nov 30 17:54:15 2011	1322704455	0	272	272	272
Wed Nov 30 17:53:57 2011	1322704437	0	272	272	272
Wed Nov 30 17:54:12 2011	1322704452	0	272	272	272
Wed Nov 30 17:54:00 2011	1322704440	0	272	272	272
Wed Nov 30 17:53:54 2011	1322704434	0	272	272	272
Wed Nov 30 17:53:53 2011	1322704433	0	272	272	272
