starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:54:19 2011	1322704459	1	51	51	51
Wed Nov 30 17:54:38 2011	1322704478	0	87	87	87
Wed Nov 30 17:54:51 2011	1322704491	0	87	87	87
Wed Nov 30 17:54:51 2011	1322704491	0	87	87	87
Wed Nov 30 17:54:47 2011	1322704487	0	88	88	88
Wed Nov 30 17:54:51 2011	1322704491	0	88	88	88
Wed Nov 30 17:54:48 2011	1322704488	0	88	88	88
Wed Nov 30 17:54:41 2011	1322704481	0	88	88	88
Wed Nov 30 17:54:52 2011	1322704492	0	88	88	88
Wed Nov 30 17:54:42 2011	1322704482	0	88	88	88
Wed Nov 30 17:54:47 2011	1322704487	0	88	88	88
Wed Nov 30 17:54:35 2011	1322704475	0	89	89	88
Wed Nov 30 17:54:50 2011	1322704490	0	89	89	89
Wed Nov 30 17:54:46 2011	1322704486	0	89	89	89
Wed Nov 30 17:54:43 2011	1322704483	0	89	89	89
Wed Nov 30 17:54:48 2011	1322704488	0	89	89	89
Wed Nov 30 17:54:59 2011	1322704499	0	89	89	89
Wed Nov 30 17:54:40 2011	1322704480	0	89	89	89
Wed Nov 30 17:54:35 2011	1322704475	0	89	89	89
Wed Nov 30 17:54:59 2011	1322704499	0	89	89	89
Wed Nov 30 17:54:29 2011	1322704469	0	89	89	89
Wed Nov 30 17:55:04 2011	1322704504	0	89	89	89
Wed Nov 30 17:54:56 2011	1322704496	0	89	89	89
Wed Nov 30 17:54:58 2011	1322704498	0	89	89	89
Wed Nov 30 17:54:21 2011	1322704461	0	90	90	90
Wed Nov 30 17:54:22 2011	1322704462	0	90	90	90
Wed Nov 30 17:55:01 2011	1322704501	0	90	90	90
Wed Nov 30 17:54:39 2011	1322704479	0	90	90	90
Wed Nov 30 17:54:23 2011	1322704463	0	90	90	90
Wed Nov 30 17:54:49 2011	1322704489	0	90	90	90
Wed Nov 30 17:54:32 2011	1322704472	0	90	90	90
Wed Nov 30 17:54:24 2011	1322704464	0	90	90	90
Wed Nov 30 17:54:27 2011	1322704467	0	91	91	91
Wed Nov 30 17:54:32 2011	1322704472	0	91	91	91
Wed Nov 30 17:54:43 2011	1322704483	0	91	91	91
Wed Nov 30 17:54:50 2011	1322704490	0	91	91	91
Wed Nov 30 17:54:33 2011	1322704473	0	91	91	91
Wed Nov 30 17:54:44 2011	1322704484	0	91	91	91
Wed Nov 30 17:54:53 2011	1322704493	0	91	91	91
Wed Nov 30 17:55:02 2011	1322704502	0	91	91	91
Wed Nov 30 17:54:46 2011	1322704486	0	91	91	91
Wed Nov 30 17:54:28 2011	1322704468	0	91	91	91
Wed Nov 30 17:54:30 2011	1322704470	0	91	91	91
Wed Nov 30 17:55:03 2011	1322704503	0	92	92	92
Wed Nov 30 17:54:20 2011	1322704460	0	92	92	92
Wed Nov 30 17:54:25 2011	1322704465	0	92	92	92
Wed Nov 30 17:54:37 2011	1322704477	0	92	92	92
Wed Nov 30 17:54:42 2011	1322704482	0	92	92	92
Wed Nov 30 17:55:06 2011	1322704506	0	92	92	92
Wed Nov 30 17:54:24 2011	1322704464	0	92	92	92
Wed Nov 30 17:54:29 2011	1322704469	0	92	92	92
Wed Nov 30 17:54:52 2011	1322704492	0	92	92	92
Wed Nov 30 17:54:22 2011	1322704462	0	92	92	92
Wed Nov 30 17:55:06 2011	1322704506	0	92	92	92
Wed Nov 30 17:54:58 2011	1322704498	0	92	93	92
