starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:58:28 2011	1322704708	0	45	45	45
Wed Nov 30 17:58:18 2011	1322704698	0	46	46	45
Wed Nov 30 17:57:45 2011	1322704665	0	46	46	46
Wed Nov 30 17:58:02 2011	1322704682	0	79	79	79
Wed Nov 30 17:58:17 2011	1322704697	0	86	86	86
Wed Nov 30 17:58:26 2011	1322704706	0	87	87	87
Wed Nov 30 17:57:45 2011	1322704665	0	87	87	87
Wed Nov 30 17:57:46 2011	1322704666	0	87	87	87
Wed Nov 30 17:57:54 2011	1322704674	0	87	87	87
Wed Nov 30 17:57:53 2011	1322704673	0	87	87	87
Wed Nov 30 17:57:50 2011	1322704670	0	87	87	87
Wed Nov 30 17:57:50 2011	1322704670	0	87	87	87
Wed Nov 30 17:57:55 2011	1322704675	0	87	87	87
Wed Nov 30 17:57:45 2011	1322704665	0	87	87	86
Wed Nov 30 17:57:54 2011	1322704674	0	87	87	87
Wed Nov 30 17:58:09 2011	1322704689	0	87	87	87
Wed Nov 30 17:58:03 2011	1322704683	0	87	87	87
Wed Nov 30 17:57:59 2011	1322704679	0	87	87	87
Wed Nov 30 17:58:03 2011	1322704683	0	87	87	87
Wed Nov 30 17:57:53 2011	1322704673	0	87	87	87
Wed Nov 30 17:58:28 2011	1322704708	0	87	87	87
Wed Nov 30 17:58:28 2011	1322704708	0	87	87	87
Wed Nov 30 17:58:28 2011	1322704708	0	87	87	87
Wed Nov 30 17:58:28 2011	1322704708	0	87	87	87
Wed Nov 30 17:58:16 2011	1322704696	0	87	87	87
Wed Nov 30 17:58:00 2011	1322704680	0	87	87	87
Wed Nov 30 17:58:28 2011	1322704708	0	87	87	87
Wed Nov 30 17:58:32 2011	1322704712	0	87	87	87
Wed Nov 30 17:58:26 2011	1322704706	0	88	88	87
Wed Nov 30 17:58:17 2011	1322704697	0	88	88	88
Wed Nov 30 17:58:22 2011	1322704702	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:58:17 2011	1322704697	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:58:09 2011	1322704689	0	88	88	88
Wed Nov 30 17:58:09 2011	1322704689	0	88	88	88
Wed Nov 30 17:58:02 2011	1322704682	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:57:59 2011	1322704679	0	88	88	88
Wed Nov 30 17:57:55 2011	1322704675	0	88	88	88
Wed Nov 30 17:57:52 2011	1322704672	0	88	88	88
Wed Nov 30 17:57:46 2011	1322704666	0	88	88	88
Wed Nov 30 17:58:19 2011	1322704699	0	88	88	88
Wed Nov 30 17:57:59 2011	1322704679	0	88	88	88
Wed Nov 30 17:57:46 2011	1322704666	0	88	88	88
Wed Nov 30 17:57:46 2011	1322704666	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:21 2011	1322704701	0	88	88	88
Wed Nov 30 17:58:17 2011	1322704697	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:58:02 2011	1322704682	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:57:57 2011	1322704677	0	88	88	88
Wed Nov 30 17:58:26 2011	1322704706	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:58:22 2011	1322704702	0	88	88	88
Wed Nov 30 17:57:45 2011	1322704665	0	88	88	87
Wed Nov 30 17:58:02 2011	1322704682	0	88	88	88
Wed Nov 30 17:57:53 2011	1322704673	0	88	88	88
Wed Nov 30 17:57:55 2011	1322704675	0	88	88	88
Wed Nov 30 17:58:04 2011	1322704684	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:06 2011	1322704686	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:57:54 2011	1322704674	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:21 2011	1322704701	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:13 2011	1322704693	0	88	88	88
Wed Nov 30 17:58:24 2011	1322704704	0	88	88	88
Wed Nov 30 17:57:46 2011	1322704666	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:57:54 2011	1322704674	0	88	88	88
Wed Nov 30 17:57:45 2011	1322704665	0	88	88	87
Wed Nov 30 17:58:06 2011	1322704686	0	88	88	88
Wed Nov 30 17:58:13 2011	1322704693	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:57:55 2011	1322704675	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:13 2011	1322704693	0	88	88	88
Wed Nov 30 17:57:46 2011	1322704666	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:17 2011	1322704697	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:12 2011	1322704692	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:19 2011	1322704699	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:57:53 2011	1322704673	0	88	88	88
Wed Nov 30 17:58:22 2011	1322704702	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:58:26 2011	1322704706	0	88	88	88
Wed Nov 30 17:57:56 2011	1322704676	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:21 2011	1322704701	0	88	88	88
Wed Nov 30 17:58:24 2011	1322704704	0	88	88	88
Wed Nov 30 17:57:55 2011	1322704675	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:21 2011	1322704701	0	88	88	88
Wed Nov 30 17:58:21 2011	1322704701	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:58:29 2011	1322704709	0	88	88	88
Wed Nov 30 17:57:54 2011	1322704674	0	88	88	88
Wed Nov 30 17:57:53 2011	1322704673	0	88	88	88
Wed Nov 30 17:57:56 2011	1322704676	0	88	88	88
Wed Nov 30 17:57:57 2011	1322704677	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:58:04 2011	1322704684	0	88	88	88
Wed Nov 30 17:58:17 2011	1322704697	0	88	88	88
Wed Nov 30 17:58:19 2011	1322704699	0	88	88	88
Wed Nov 30 17:58:21 2011	1322704701	0	88	88	88
Wed Nov 30 17:58:04 2011	1322704684	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:57:53 2011	1322704673	0	88	88	88
Wed Nov 30 17:58:12 2011	1322704692	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:57:55 2011	1322704675	0	88	88	88
Wed Nov 30 17:58:19 2011	1322704699	0	88	88	88
Wed Nov 30 17:57:45 2011	1322704665	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:58:09 2011	1322704689	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:58:26 2011	1322704706	0	88	88	88
Wed Nov 30 17:58:04 2011	1322704684	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:57:53 2011	1322704673	0	88	88	88
Wed Nov 30 17:58:17 2011	1322704697	0	88	88	88
Wed Nov 30 17:57:45 2011	1322704665	0	88	88	87
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:58:04 2011	1322704684	0	88	88	88
Wed Nov 30 17:58:13 2011	1322704693	0	88	88	88
Wed Nov 30 17:58:10 2011	1322704690	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:57:50 2011	1322704670	0	88	88	88
Wed Nov 30 17:58:12 2011	1322704692	0	88	88	88
Wed Nov 30 17:57:53 2011	1322704673	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:57:59 2011	1322704679	0	88	88	88
Wed Nov 30 17:58:10 2011	1322704690	0	88	88	88
Wed Nov 30 17:58:06 2011	1322704686	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:58:06 2011	1322704686	0	88	88	88
Wed Nov 30 17:58:24 2011	1322704704	0	88	88	88
Wed Nov 30 17:58:17 2011	1322704697	0	88	88	88
Wed Nov 30 17:58:06 2011	1322704686	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:58:16 2011	1322704696	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:58:10 2011	1322704690	0	88	88	88
Wed Nov 30 17:58:32 2011	1322704712	0	88	88	88
Wed Nov 30 17:58:02 2011	1322704682	0	88	88	88
Wed Nov 30 17:57:59 2011	1322704679	0	88	88	88
Wed Nov 30 17:58:00 2011	1322704680	0	88	88	88
Wed Nov 30 17:58:22 2011	1322704702	0	88	88	88
Wed Nov 30 17:58:10 2011	1322704690	0	88	88	88
Wed Nov 30 17:57:55 2011	1322704675	0	88	88	88
Wed Nov 30 17:58:21 2011	1322704701	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:57:59 2011	1322704679	0	88	88	88
Wed Nov 30 17:58:06 2011	1322704686	0	88	88	88
Wed Nov 30 17:58:19 2011	1322704699	0	88	88	88
Wed Nov 30 17:58:15 2011	1322704695	0	88	88	88
Wed Nov 30 17:57:55 2011	1322704675	0	88	88	88
Wed Nov 30 17:58:27 2011	1322704707	0	88	88	88
Wed Nov 30 17:57:57 2011	1322704677	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:58:28 2011	1322704708	0	88	88	88
Wed Nov 30 17:58:04 2011	1322704684	0	88	88	88
Wed Nov 30 17:58:04 2011	1322704684	0	88	88	88
Wed Nov 30 17:58:03 2011	1322704683	0	88	88	88
Wed Nov 30 17:58:26 2011	1322704706	0	88	88	88
Wed Nov 30 17:58:26 2011	1322704706	0	88	89	88
Wed Nov 30 17:58:22 2011	1322704702	0	89	89	89
Wed Nov 30 17:57:52 2011	1322704672	0	89	89	89
Wed Nov 30 17:57:45 2011	1322704665	0	89	89	89
Wed Nov 30 17:58:17 2011	1322704697	0	89	89	89
Wed Nov 30 17:58:15 2011	1322704695	0	89	89	89
Wed Nov 30 17:58:03 2011	1322704683	0	89	89	89
Wed Nov 30 17:58:21 2011	1322704701	0	89	89	89
Wed Nov 30 17:58:19 2011	1322704699	0	89	89	89
Wed Nov 30 17:58:15 2011	1322704695	0	89	89	89
Wed Nov 30 17:58:00 2011	1322704680	0	89	89	89
Wed Nov 30 17:57:57 2011	1322704677	0	89	89	89
Wed Nov 30 17:57:57 2011	1322704677	0	89	89	89
Wed Nov 30 17:57:59 2011	1322704679	0	89	89	89
Wed Nov 30 17:58:26 2011	1322704706	0	89	89	89
Wed Nov 30 17:57:59 2011	1322704679	0	89	89	89
Wed Nov 30 17:58:15 2011	1322704695	0	89	89	89
Wed Nov 30 17:58:16 2011	1322704696	0	89	89	89
Wed Nov 30 17:57:59 2011	1322704679	0	89	89	89
Wed Nov 30 17:58:26 2011	1322704706	0	89	89	89
Wed Nov 30 17:58:06 2011	1322704686	0	89	89	89
Wed Nov 30 17:58:27 2011	1322704707	0	89	89	89
Wed Nov 30 17:58:16 2011	1322704696	0	89	89	89
Wed Nov 30 17:58:03 2011	1322704683	0	89	89	89
Wed Nov 30 17:57:45 2011	1322704665	0	89	89	89
Wed Nov 30 17:57:58 2011	1322704678	0	89	89	89
Wed Nov 30 17:57:59 2011	1322704679	0	89	89	89
Wed Nov 30 17:57:50 2011	1322704670	0	89	89	89
Wed Nov 30 17:58:10 2011	1322704690	0	89	89	89
Wed Nov 30 17:57:45 2011	1322704665	0	89	89	88
Wed Nov 30 17:58:23 2011	1322704703	0	89	89	89
Wed Nov 30 17:57:49 2011	1322704669	0	89	89	89
Wed Nov 30 17:58:27 2011	1322704707	0	89	89	89
Wed Nov 30 17:58:31 2011	1322704711	0	89	89	89
Wed Nov 30 17:58:28 2011	1322704708	0	89	89	89
Wed Nov 30 17:58:06 2011	1322704686	0	89	89	89
Wed Nov 30 17:57:53 2011	1322704673	0	89	89	89
Wed Nov 30 17:57:50 2011	1322704670	0	89	89	89
Wed Nov 30 17:58:12 2011	1322704692	0	89	89	89
Wed Nov 30 17:58:27 2011	1322704707	0	89	89	89
Wed Nov 30 17:58:10 2011	1322704690	0	89	89	89
Wed Nov 30 17:58:04 2011	1322704684	0	89	89	89
Wed Nov 30 17:57:50 2011	1322704670	0	89	89	89
Wed Nov 30 17:58:16 2011	1322704696	0	89	89	89
Wed Nov 30 17:58:27 2011	1322704707	0	89	89	89
Wed Nov 30 17:57:58 2011	1322704678	0	89	89	89
Wed Nov 30 17:58:15 2011	1322704695	0	89	89	89
Wed Nov 30 17:58:10 2011	1322704690	0	89	89	89
Wed Nov 30 17:58:10 2011	1322704690	0	89	89	89
Wed Nov 30 17:58:06 2011	1322704686	0	89	89	89
Wed Nov 30 17:57:56 2011	1322704676	0	89	89	89
Wed Nov 30 17:58:17 2011	1322704697	0	89	89	89
Wed Nov 30 17:57:53 2011	1322704673	0	89	89	89
Wed Nov 30 17:57:57 2011	1322704677	0	89	89	89
Wed Nov 30 17:57:53 2011	1322704673	0	89	89	89
Wed Nov 30 17:58:15 2011	1322704695	0	89	89	89
Wed Nov 30 17:58:10 2011	1322704690	0	89	89	89
Wed Nov 30 17:57:53 2011	1322704673	0	89	89	89
Wed Nov 30 17:57:53 2011	1322704673	0	89	89	89
Wed Nov 30 17:57:53 2011	1322704673	0	89	89	89
Wed Nov 30 17:57:53 2011	1322704673	0	89	89	89
Wed Nov 30 17:58:23 2011	1322704703	0	89	89	89
Wed Nov 30 17:58:21 2011	1322704701	0	89	89	89
Wed Nov 30 17:58:01 2011	1322704681	0	89	89	89
Wed Nov 30 17:57:48 2011	1322704668	0	89	89	89
Wed Nov 30 17:58:23 2011	1322704703	0	89	89	89
Wed Nov 30 17:57:58 2011	1322704678	0	89	89	89
Wed Nov 30 17:57:49 2011	1322704669	0	89	89	89
Wed Nov 30 17:58:23 2011	1322704703	0	89	89	89
Wed Nov 30 17:58:21 2011	1322704701	0	89	89	89
Wed Nov 30 17:57:58 2011	1322704678	0	89	89	89
Wed Nov 30 17:57:57 2011	1322704677	0	89	89	89
Wed Nov 30 17:58:05 2011	1322704685	0	89	89	89
Wed Nov 30 17:58:01 2011	1322704681	0	89	89	89
Wed Nov 30 17:58:30 2011	1322704710	0	89	89	89
Wed Nov 30 17:58:22 2011	1322704702	0	89	89	89
Wed Nov 30 17:58:10 2011	1322704690	0	89	89	89
Wed Nov 30 17:58:22 2011	1322704702	0	89	89	89
Wed Nov 30 17:57:58 2011	1322704678	0	89	89	89
Wed Nov 30 17:58:02 2011	1322704682	0	89	89	89
Wed Nov 30 17:58:22 2011	1322704702	0	89	89	89
Wed Nov 30 17:58:19 2011	1322704699	0	89	89	89
Wed Nov 30 17:58:26 2011	1322704706	0	89	89	89
Wed Nov 30 17:58:22 2011	1322704702	0	89	89	89
Wed Nov 30 17:58:30 2011	1322704710	0	89	89	89
Wed Nov 30 17:58:28 2011	1322704708	0	89	89	89
Wed Nov 30 17:57:52 2011	1322704672	0	89	89	89
Wed Nov 30 17:58:03 2011	1322704683	0	89	89	89
Wed Nov 30 17:57:45 2011	1322704665	0	89	89	89
Wed Nov 30 17:58:21 2011	1322704701	0	90	90	90
Wed Nov 30 17:58:18 2011	1322704698	0	90	90	90
Wed Nov 30 17:57:57 2011	1322704677	0	90	90	90
Wed Nov 30 17:58:16 2011	1322704696	0	90	90	90
Wed Nov 30 17:57:49 2011	1322704669	0	90	90	90
Wed Nov 30 17:58:09 2011	1322704689	0	90	90	90
Wed Nov 30 17:58:22 2011	1322704702	0	90	90	90
Wed Nov 30 17:58:03 2011	1322704683	0	90	90	90
Wed Nov 30 17:57:54 2011	1322704674	0	90	90	90
Wed Nov 30 17:58:24 2011	1322704704	0	90	90	90
Wed Nov 30 17:58:12 2011	1322704692	0	90	90	90
Wed Nov 30 17:58:24 2011	1322704704	0	90	90	90
Wed Nov 30 17:58:09 2011	1322704689	0	90	90	90
Wed Nov 30 17:58:03 2011	1322704683	0	90	90	90
Wed Nov 30 17:58:12 2011	1322704692	0	90	90	90
Wed Nov 30 17:58:17 2011	1322704697	0	90	90	90
Wed Nov 30 17:58:17 2011	1322704697	0	90	90	90
Wed Nov 30 17:57:51 2011	1322704671	0	90	90	90
Wed Nov 30 17:57:57 2011	1322704677	0	90	90	90
Wed Nov 30 17:57:49 2011	1322704669	0	90	90	90
Wed Nov 30 17:58:23 2011	1322704703	0	90	90	90
Wed Nov 30 17:58:19 2011	1322704699	0	90	90	90
Wed Nov 30 17:57:48 2011	1322704668	0	90	90	90
Wed Nov 30 17:58:09 2011	1322704689	0	90	90	90
Wed Nov 30 17:58:30 2011	1322704710	0	90	90	90
Wed Nov 30 17:58:21 2011	1322704701	0	90	90	90
Wed Nov 30 17:58:06 2011	1322704686	0	90	90	90
Wed Nov 30 17:58:01 2011	1322704681	0	90	90	90
Wed Nov 30 17:58:30 2011	1322704710	0	90	90	90
Wed Nov 30 17:58:01 2011	1322704681	0	90	90	90
Wed Nov 30 17:57:54 2011	1322704674	0	90	90	90
Wed Nov 30 17:58:15 2011	1322704695	0	90	90	90
Wed Nov 30 17:57:47 2011	1322704667	0	90	90	90
Wed Nov 30 17:58:20 2011	1322704700	0	90	90	90
Wed Nov 30 17:57:51 2011	1322704671	0	90	90	90
Wed Nov 30 17:57:46 2011	1322704666	0	90	90	90
Wed Nov 30 17:57:52 2011	1322704672	0	90	90	90
Wed Nov 30 17:58:18 2011	1322704698	0	90	90	90
Wed Nov 30 17:57:51 2011	1322704671	0	90	90	90
Wed Nov 30 17:58:04 2011	1322704684	0	90	90	90
Wed Nov 30 17:58:00 2011	1322704680	0	90	90	90
Wed Nov 30 17:57:56 2011	1322704676	0	90	90	90
Wed Nov 30 17:58:21 2011	1322704701	0	90	90	90
Wed Nov 30 17:58:18 2011	1322704698	0	90	90	90
Wed Nov 30 17:58:04 2011	1322704684	0	90	90	90
Wed Nov 30 17:58:10 2011	1322704690	0	90	90	90
Wed Nov 30 17:58:29 2011	1322704709	0	90	90	90
Wed Nov 30 17:57:49 2011	1322704669	0	90	90	90
Wed Nov 30 17:58:18 2011	1322704698	0	90	90	90
Wed Nov 30 17:58:05 2011	1322704685	0	90	90	90
Wed Nov 30 17:58:01 2011	1322704681	0	90	90	90
Wed Nov 30 17:57:59 2011	1322704679	0	90	90	90
Wed Nov 30 17:58:16 2011	1322704696	0	90	90	90
Wed Nov 30 17:58:27 2011	1322704707	0	90	90	90
Wed Nov 30 17:58:17 2011	1322704697	0	90	90	90
Wed Nov 30 17:57:52 2011	1322704672	0	90	90	90
Wed Nov 30 17:57:47 2011	1322704667	0	90	90	90
Wed Nov 30 17:58:01 2011	1322704681	0	90	90	90
Wed Nov 30 17:57:47 2011	1322704667	0	91	91	91
Wed Nov 30 17:58:28 2011	1322704708	0	91	91	91
Wed Nov 30 17:57:56 2011	1322704676	0	91	91	91
Wed Nov 30 17:58:28 2011	1322704708	0	91	91	90
Wed Nov 30 17:58:13 2011	1322704693	0	91	91	91
Wed Nov 30 17:57:51 2011	1322704671	0	91	91	91
Wed Nov 30 17:58:02 2011	1322704682	0	91	91	91
Wed Nov 30 17:57:49 2011	1322704669	0	91	91	91
Wed Nov 30 17:58:01 2011	1322704681	0	91	91	91
Wed Nov 30 17:58:23 2011	1322704703	0	91	91	91
Wed Nov 30 17:57:49 2011	1322704669	0	91	91	91
Wed Nov 30 17:58:18 2011	1322704698	0	91	91	91
Wed Nov 30 17:58:03 2011	1322704683	0	91	91	91
Wed Nov 30 17:57:48 2011	1322704668	0	91	91	91
Wed Nov 30 17:57:46 2011	1322704666	0	91	91	91
Wed Nov 30 17:57:51 2011	1322704671	0	91	91	91
Wed Nov 30 17:58:28 2011	1322704708	0	91	91	91
Wed Nov 30 17:58:00 2011	1322704680	0	91	91	91
Wed Nov 30 17:57:52 2011	1322704672	0	91	91	91
Wed Nov 30 17:58:26 2011	1322704706	0	91	91	91
Wed Nov 30 17:58:31 2011	1322704711	0	91	91	91
Wed Nov 30 17:58:30 2011	1322704710	0	91	91	91
Wed Nov 30 17:58:29 2011	1322704709	0	91	91	91
Wed Nov 30 17:57:52 2011	1322704672	0	91	91	91
Wed Nov 30 17:57:54 2011	1322704674	0	91	91	91
Wed Nov 30 17:58:25 2011	1322704705	0	91	91	91
Wed Nov 30 17:58:14 2011	1322704694	0	91	91	91
Wed Nov 30 17:57:49 2011	1322704669	0	91	91	91
Wed Nov 30 17:58:27 2011	1322704707	0	91	91	91
Wed Nov 30 17:58:13 2011	1322704693	0	91	91	91
Wed Nov 30 17:58:12 2011	1322704692	0	91	91	91
Wed Nov 30 17:58:25 2011	1322704705	0	91	91	91
Wed Nov 30 17:58:20 2011	1322704700	0	91	91	91
Wed Nov 30 17:58:31 2011	1322704711	0	91	91	91
Wed Nov 30 17:58:27 2011	1322704707	0	91	91	91
Wed Nov 30 17:58:30 2011	1322704710	0	91	91	91
Wed Nov 30 17:58:00 2011	1322704680	0	91	91	91
Wed Nov 30 17:57:58 2011	1322704678	0	91	91	91
Wed Nov 30 17:58:20 2011	1322704700	0	91	91	91
Wed Nov 30 17:58:22 2011	1322704702	0	91	91	91
Wed Nov 30 17:58:14 2011	1322704694	0	91	91	91
Wed Nov 30 17:58:05 2011	1322704685	0	91	91	91
Wed Nov 30 17:57:49 2011	1322704669	0	91	91	91
Wed Nov 30 17:57:56 2011	1322704676	0	91	91	91
Wed Nov 30 17:58:23 2011	1322704703	0	91	91	91
Wed Nov 30 17:58:06 2011	1322704686	0	91	91	91
Wed Nov 30 17:57:48 2011	1322704668	0	91	91	91
Wed Nov 30 17:58:21 2011	1322704701	0	91	91	91
Wed Nov 30 17:57:46 2011	1322704666	0	91	91	91
Wed Nov 30 17:58:09 2011	1322704689	0	91	91	91
Wed Nov 30 17:58:27 2011	1322704707	0	91	91	91
Wed Nov 30 17:58:04 2011	1322704684	0	91	91	91
Wed Nov 30 17:57:48 2011	1322704668	0	91	91	91
Wed Nov 30 17:58:12 2011	1322704692	0	91	91	91
Wed Nov 30 17:58:12 2011	1322704692	0	91	91	91
Wed Nov 30 17:57:54 2011	1322704674	0	91	91	91
Wed Nov 30 17:58:20 2011	1322704700	0	91	91	91
Wed Nov 30 17:58:15 2011	1322704695	0	91	91	91
Wed Nov 30 17:58:16 2011	1322704696	0	91	91	91
Wed Nov 30 17:58:13 2011	1322704693	0	91	91	91
Wed Nov 30 17:58:07 2011	1322704687	0	91	91	91
Wed Nov 30 17:57:51 2011	1322704671	0	91	91	91
Wed Nov 30 17:57:46 2011	1322704666	0	91	91	91
Wed Nov 30 17:58:25 2011	1322704705	0	91	91	91
Wed Nov 30 17:58:01 2011	1322704681	0	91	91	91
Wed Nov 30 17:58:19 2011	1322704699	0	91	91	91
Wed Nov 30 17:58:14 2011	1322704694	0	91	91	91
Wed Nov 30 17:58:00 2011	1322704680	0	91	91	91
Wed Nov 30 17:57:52 2011	1322704672	0	91	91	91
Wed Nov 30 17:58:27 2011	1322704707	0	91	91	91
Wed Nov 30 17:58:04 2011	1322704684	0	91	91	91
Wed Nov 30 17:58:23 2011	1322704703	0	91	91	91
Wed Nov 30 17:58:01 2011	1322704681	0	91	91	91
Wed Nov 30 17:58:30 2011	1322704710	0	91	91	91
Wed Nov 30 17:58:12 2011	1322704692	0	91	91	91
Wed Nov 30 17:57:58 2011	1322704678	0	91	91	91
Wed Nov 30 17:57:46 2011	1322704666	0	91	91	91
Wed Nov 30 17:58:31 2011	1322704711	0	91	91	91
Wed Nov 30 17:57:53 2011	1322704673	0	91	91	91
