starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:55:07 2011	1322704507	1	63	64	63
Wed Nov 30 17:55:28 2011	1322704528	0	71	71	71
Wed Nov 30 17:55:32 2011	1322704532	0	86	86	86
Wed Nov 30 17:55:46 2011	1322704546	0	88	88	88
Wed Nov 30 17:55:20 2011	1322704520	0	88	88	88
Wed Nov 30 17:55:30 2011	1322704530	0	88	88	88
Wed Nov 30 17:55:41 2011	1322704541	0	88	88	88
Wed Nov 30 17:55:40 2011	1322704540	0	89	89	89
Wed Nov 30 17:55:33 2011	1322704533	0	89	89	89
Wed Nov 30 17:55:15 2011	1322704515	0	89	89	89
Wed Nov 30 17:55:43 2011	1322704543	0	89	89	89
Wed Nov 30 17:55:31 2011	1322704531	0	90	90	90
Wed Nov 30 17:55:45 2011	1322704545	0	90	90	90
Wed Nov 30 17:55:44 2011	1322704544	0	91	91	91
Wed Nov 30 17:55:53 2011	1322704553	0	91	91	91
Wed Nov 30 17:55:20 2011	1322704520	0	91	91	91
Wed Nov 30 17:55:51 2011	1322704551	0	91	91	91
Wed Nov 30 17:55:42 2011	1322704542	0	91	91	91
Wed Nov 30 17:55:51 2011	1322704551	0	91	91	91
Wed Nov 30 17:55:26 2011	1322704526	0	92	92	91
Wed Nov 30 17:55:48 2011	1322704548	0	92	92	92
Wed Nov 30 17:55:27 2011	1322704527	0	92	92	92
Wed Nov 30 17:55:21 2011	1322704521	0	92	92	92
Wed Nov 30 17:55:29 2011	1322704529	0	92	92	92
Wed Nov 30 17:55:39 2011	1322704539	0	92	92	92
Wed Nov 30 17:55:54 2011	1322704554	0	93	93	93
Wed Nov 30 17:55:50 2011	1322704550	0	93	93	93
Wed Nov 30 17:55:24 2011	1322704524	0	93	93	93
Wed Nov 30 17:55:22 2011	1322704522	0	93	93	93
Wed Nov 30 17:55:17 2011	1322704517	0	94	94	94
Wed Nov 30 17:55:25 2011	1322704525	0	94	94	94
Wed Nov 30 17:55:18 2011	1322704518	0	94	94	94
Wed Nov 30 17:55:11 2011	1322704511	0	94	94	94
Wed Nov 30 17:55:19 2011	1322704519	0	95	95	95
Wed Nov 30 17:55:10 2011	1322704510	0	95	95	95
Wed Nov 30 17:55:13 2011	1322704513	0	95	95	95
Wed Nov 30 17:55:52 2011	1322704552	0	95	95	95
Wed Nov 30 17:55:34 2011	1322704534	0	95	95	95
Wed Nov 30 17:55:38 2011	1322704538	0	95	95	95
Wed Nov 30 17:55:23 2011	1322704523	0	97	97	97
Wed Nov 30 17:55:43 2011	1322704543	0	102	102	102
Wed Nov 30 17:55:49 2011	1322704549	0	103	103	103
