starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:57:25 2011	1322704645	0	44	44	44
Wed Nov 30 17:57:30 2011	1322704650	0	44	44	44
Wed Nov 30 17:57:07 2011	1322704627	0	44	44	44
Wed Nov 30 17:57:30 2011	1322704650	0	44	44	44
Wed Nov 30 17:57:25 2011	1322704645	0	44	44	44
Wed Nov 30 17:57:28 2011	1322704648	0	44	44	44
Wed Nov 30 17:57:29 2011	1322704649	0	44	44	44
Wed Nov 30 17:57:00 2011	1322704620	0	44	44	44
Wed Nov 30 17:56:58 2011	1322704618	0	44	44	44
Wed Nov 30 17:57:30 2011	1322704650	0	44	44	44
Wed Nov 30 17:57:07 2011	1322704627	0	44	44	44
Wed Nov 30 17:57:30 2011	1322704650	0	44	44	44
Wed Nov 30 17:57:30 2011	1322704650	0	44	44	44
Wed Nov 30 17:57:26 2011	1322704646	0	44	44	44
Wed Nov 30 17:57:02 2011	1322704622	0	44	44	44
Wed Nov 30 17:57:07 2011	1322704627	0	44	44	44
Wed Nov 30 17:57:05 2011	1322704625	0	44	44	44
Wed Nov 30 17:57:06 2011	1322704626	0	44	44	44
Wed Nov 30 17:57:28 2011	1322704648	0	44	44	44
Wed Nov 30 17:57:06 2011	1322704626	0	44	44	44
Wed Nov 30 17:57:13 2011	1322704633	0	44	44	44
Wed Nov 30 17:57:08 2011	1322704628	0	44	44	44
Wed Nov 30 17:57:24 2011	1322704644	0	44	44	44
Wed Nov 30 17:57:19 2011	1322704639	0	44	44	44
Wed Nov 30 17:57:24 2011	1322704644	0	44	44	44
Wed Nov 30 17:57:27 2011	1322704647	0	44	44	44
Wed Nov 30 17:56:59 2011	1322704619	0	44	44	44
Wed Nov 30 17:57:02 2011	1322704622	0	44	44	44
Wed Nov 30 17:57:12 2011	1322704632	0	44	44	44
Wed Nov 30 17:57:01 2011	1322704621	0	44	44	44
Wed Nov 30 17:57:01 2011	1322704621	0	44	44	44
Wed Nov 30 17:57:30 2011	1322704650	0	44	44	44
Wed Nov 30 17:57:02 2011	1322704622	0	44	44	44
Wed Nov 30 17:57:29 2011	1322704649	0	44	44	44
Wed Nov 30 17:57:29 2011	1322704649	0	44	44	44
Wed Nov 30 17:57:13 2011	1322704633	0	44	44	44
Wed Nov 30 17:57:20 2011	1322704640	0	44	44	44
Wed Nov 30 17:57:08 2011	1322704628	0	44	44	44
Wed Nov 30 17:57:20 2011	1322704640	0	44	44	44
Wed Nov 30 17:57:14 2011	1322704634	0	44	44	44
Wed Nov 30 17:57:26 2011	1322704646	0	44	44	44
Wed Nov 30 17:56:59 2011	1322704619	0	44	44	44
Wed Nov 30 17:57:29 2011	1322704649	0	44	44	44
Wed Nov 30 17:57:07 2011	1322704627	0	44	44	44
Wed Nov 30 17:57:03 2011	1322704623	0	44	44	44
Wed Nov 30 17:57:01 2011	1322704621	0	44	44	44
Wed Nov 30 17:57:06 2011	1322704626	0	44	44	44
Wed Nov 30 17:56:58 2011	1322704618	0	44	44	44
Wed Nov 30 17:57:08 2011	1322704628	0	44	44	44
Wed Nov 30 17:57:08 2011	1322704628	0	44	44	44
Wed Nov 30 17:57:03 2011	1322704623	0	44	44	44
Wed Nov 30 17:57:12 2011	1322704632	0	44	44	44
Wed Nov 30 17:57:19 2011	1322704639	0	44	44	44
Wed Nov 30 17:57:02 2011	1322704622	0	44	44	44
Wed Nov 30 17:56:58 2011	1322704618	0	44	44	44
Wed Nov 30 17:57:25 2011	1322704645	0	44	44	44
Wed Nov 30 17:57:01 2011	1322704621	0	44	44	44
Wed Nov 30 17:57:03 2011	1322704623	0	44	44	44
